road,place,latitude,longitude,clusterid
Parnie Street,Glasgow,55.856397,-4.246027,1242
Osborne Street,Glasgow,55.856125,-4.248135,1243
Osborne Street,Glasgow,55.85587,-4.24575,1244
West Nile Street,Glasgow,55.861165,-4.255184,1245
Jamaica Street,Glasgow,55.857032,-4.257407,1246
Robertson Lane,Glasgow,55.858324,-4.261162,1247
York Street,Glasgow,55.858622,-4.26256,1248
Waterloo Street,Glasgow,55.860261,-4.259509,1249
Bothwell Street,Glasgow,55.86139,-4.261963,1250
Blythswood Street,Glasgow,55.861284,-4.263115,1251
Blythswood Street,Glasgow,55.861577,-4.263025,1252
Bath Street,Glasgow,55.863927,-4.256839,1253
Wellington Street,Glasgow,55.86333,-4.259427,1254
Wellington Street,Glasgow,55.863559,-4.25932,1255
Wellington Street,Glasgow,55.863558,-4.25919,1256
West Campbell Street,Glasgow,55.863739,-4.260841,1257
West Regent Street,Glasgow,55.863651,-4.261384,1258
Bath Street,Glasgow,55.864422,-4.261004,1259
Blythswood Square,Glasgow,55.863852,-4.262482,1260
Blythswood Street,Glasgow,55.864222,-4.262146,1261
Bath Street,Glasgow,55.864595,-4.262416,1262
Douglas Street,Glasgow,55.862882,-4.264196,1263
Douglas Street,Glasgow,55.864084,-4.263747,1264
Bath Street,Glasgow,55.864808,-4.264283,1265
Pitt Street,Glasgow,55.86384,-4.265253,1266
Pitt Street,Glasgow,55.864283,-4.265153,1267
Pitt Street,Glasgow,55.864438,-4.265133,1268
Bath Street,Glasgow,55.864945,-4.265421,1269
West George Street,Glasgow,55.863499,-4.266568,1270
Holland Street,Glasgow,55.863822,-4.267133,1271
Holland Street,Glasgow,55.864425,-4.266772,1272
Elmbank Street,Glasgow,55.864123,-4.268156,1273
North Street,Glasgow,55.863993,-4.271162,1274
Renfrew Street,Glasgow,55.865997,-4.261662,1275
Broad Street,Oxford,51.7543,-1.256263,1276
St Giles,Oxford,51.755661,-1.25904,1277
Oriel Square,Oxford,51.751461,-1.254185,1278
Thornhill Park and Ride,Oxford,51.762429,-1.181539,1279
Museum Road,Oxford,51.758029,-1.256691,1280
St Giles,Oxford,51.758144,-1.259806,1281
Priory Lane Carpark,St Neots,52.228427,-0.271387,1282
Tebbutts Road Car Park,St Neots,52.229552,-0.266662,1283
Wade Lane,Leeds ,53.801131,-1.54329,1284
St. George's Road,Leeds ,53.801826,-1.552943,1285
St. George's Road,Leeds ,53.801766,-1.553038,1286
Bridge Street,Leeds ,53.79913,-1.536371,1287
Crown Street,Leeds ,53.795267,-1.540128,1288
Maude Street Car Park,Leeds ,53.79523,-1.534741,1289
Russel Street,Leeds ,53.798093,-1.547463,1290
Cookridge Street,Leeds ,53.801923,-1.547129,1291
Great George Street,Leeds ,53.800911,-1.547028,1292
New York Street,Leeds ,53.796518,-1.53801,1293
Park Square West,Leeds ,53.799381,-1.552582,1294
Park Square East,Leeds ,53.798282,-1.551279,1295
Park Place,Leeds ,53.797667,-1.552355,1296
Victoria Car Park Level 0,Leeds ,53.798409,-1.536308,1297
Sovereign Street,Leeds,53.793823,-1.543572,1298
Wellington Street,Leeds,53.796147,-1.548745,1299
Oxford Place,Leeds,53.799943,-1.550578,1300
Wharf Street,Leeds,53.795539,-1.537782,1301
Peel Street,Morley,53.744626,-1.599762,1302
Pound Tree Road,Southampton,50.904924,-1.402824,1303
Ogle Road,Southampton,50.905273,-1.40479,1304
Bellevue Road,Southampton,50.912372,-1.402525,1305
Bond Street Car Park,Southampton,50.91104,-1.383745,1306
High Street,Southampton,50.898912,-1.403872,1307
Hall Street,Manchester,53.476841,-2.243444,1308
Auburn Street,Manchester,53.478388,-2.234167,1309
Hall Street,Manchester,53.476755,-2.243726,1310
Bishopsgate,Manchester,53.476479,-2.244555,1311
Charlotte Street,Manchester,53.47883,-2.238825,1312
Chepstow Street,Manchester,53.475638,-2.243861,1313
Chepstow Street,Manchester,53.475532,-2.24369,1314
George Street,Manchester,53.479699,-2.23936,1315
King Street West,Manchester,53.481541,-2.249633,1316
St Anne Street,Manchester,53.48172,-2.244943,1317
Withy Grove,Manchester,53.484603,-2.241062,1318
Tib Street,Manchester,53.483248,-2.235766,1319
Bridgefield St Car Park,Stockport,53.412832,-2.160216,1320
NCP Car Park,Stockport,53.41023,-2.159109,1321
Bridgefield St Car Park,Stockport,53.412685,-2.160773,1322
Scott Street,Perth,56.396444,-3.43236,1323
Canal Street Car Park,Perth,56.39429,-3.429353,1324
Fleet Railway Station,Fleet,51.290465,-0.830469,1325
Horley Central Car Park,Horley,51.171888,-0.162214,1326
Charter Place,Watford,51.657389,-0.396394,1327
Estcourt Road,Watford,51.657879,-0.395555,1328
Queen's Road,Watford,51.65694,-0.392998,1329
Metropolitan Station Approach,Watford,51.657417,-0.416333,1330
